Plate ID,Reports Count,Plate Issuer,Plate Status,Unique vehicles,Tags,Seen at Whipple,Plate Record Notes,Images,Last Seen,Last Location Seen,Plate,Submit Report
0043W (US),1,US - U.S. Federal Government,Confirmed ICE,Dark Minivan Ford Transit,"ICE agent(s) seen in vehicle, Verbally or physically aggressive, ""Intimidation (observing, filming, etc.)""",,,,1/18/2026 9:30am,46th S and 35w,0043W,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=0043W&prefill_Plate+Issuer=US%20-%20U.S.%20Federal%20Government
007796,1,,Highly suspected ICE,Black SUV Ford Expedition,,checked,,,1/14/2026 3:00pm,Whipple,007796,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=007796
008AH5 (NE),2,NE - Nebraska,Confirmed ICE,"Black SUV  ,    ",ICE agent(s) seen in vehicle,checked,,,1/15/2026 8:15am,"NE Mpls: Quarry shopping, parked at back of Home Depot lot",008AH5,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=008AH5&prefill_Plate+Issuer=NE%20-%20Nebraska
008BQDC,2,,Highly suspected ICE,"Gray / grey SUV Hyundai Palisade,    ",,checked,,,1/5/2026 8:10am,Entering G1,008BQDC,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=008BQDC
0095Z,1,,Highly suspected ICE, Van  ,Seen with known ICE vehicle,,,,1/5/2026 4:00pm,"Kwik Trip on Dodd Rd. in Eagan. 
",0095Z,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=0095Z
013KFV (MN),6,MN - Minnesota,Confirmed ICE,"Gray / grey  Ford , Silver SUV Ford Expedition, Gray / grey SUV Ford Expedition, Light gray / grey SUV Ford Explorer",ICE agent(s) seen in vehicle,checked,,"013KFV_back.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/wMD4sRT-fWOzYflFwKf4dg/hzQzuIRQxEcz-vdUeN9c60wuoZcwDo1I-WsuhNJKG9FxWSQaPZR7Xj4hRklSct1D7Glx1tL1U4YqFYNPS9qmWXRP6cGq9WJxJzGCOi2434m9gVPFIYzzvibxKKF-KYM7KJd93W-vAyjhE5sWS7Dgmw6_9NFTMPByMVn7OWUV90E/xqFTazh6RIzIfeoPCV6IPbwVuX-cBP-EMMGFpiozd3M),013KFV_front.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/SRPaoRZORWWQeVyMSbnZhQ/o1M0B3YApkWdF2qWu-TZihhraaGEVsjMxAGPYzBBE6clXrYrsPVR3gxtUVfc-z-zNIzIyGLCA7Ff0T95h4vlSqdsXdFrpJbip3KiXA2Nddo5G2ChZBpXc64ll9HzE_LxRPcLL5KHY152Q6otukADLw2iOpo2PgQfYYCp0vPF4sM/UCRO6aQ6vlVqjd9QSefgPyBYB6zmfVBjfjlsSSe6waw),013KFV_vid.mp4 (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/jNgY0EIvKOiPUtFOSBRpPA/S1QkIdZSx_GR1ixBrq8X1ZDITOZNDLHRja-OXMqAL1IxHtwZItzAf3PkOYfKpO_mnm1E7bpNBT31zeK4smq1dOx8pv_bTAphZKMLSO1RFaBwqLH5OB5TF9lMBsVLFHBAq_0zG9ZFEnu-LzB9ZMPMvDEXsF3v1RiJ3RGxyN6OZkw/C0EUYGgLE3FQx1lfeJlTG2FreukFhOqlTbXay3nMgU4),013KFV.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/OZQxjRxVPlapmr9DJV70wA/k20GEOdgdAaLtgGGEYefftVSpktTlqFxa3wsIFhDckn6seYbUlV9s0-8OlLlriMoi_QJPlCbc_fOwfHbWeM73PqWFg01MAu1Xn3vcaa9W_JNRKdoqZebD8FNdkZsOqkUb8TkKxG-z_eKgY4UYiExrplih01gmxjQNTX403jromY/XHbqJ1Tqgdb7f33hJTKutxrdVvhtfmOc4eRnrIJXl0E)",1/15/2026 12:00am,,013KFV,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=013KFV&prefill_Plate+Issuer=MN%20-%20Minnesota
014HGJ (MN),12,MN - Minnesota,Confirmed ICE,"   , Black Crossover Ford Explorer,  Crossover Ford Edge, Dark gray / grey SUV Ford Edge, Dark gray / grey Crossover Ford Edge,  SUV Ford Edge, Dark SUV Ford Edge, Dark gray / grey SUV Ford Crossover, Black SUV Ford Edge, Gray / grey SUV Ford Edge","ICE agent(s) seen in vehicle, ICE agent(s) seen in vehicle, Seen in a convoy, ICE agent(s) seen in vehicle, Involved in abduction, ICE agent(s) seen in vehicle, Present at raid or abduction, ICE agent(s) seen in vehicle, Involved in abduction, Seen in a convoy, Present at raid or abduction, Tinted/blacked-out windows, Embedded lights, Seen in a convoy, ICE agent(s) seen in vehicle, Missing license plate(s), Involved in abduction, ICE agent(s) seen in vehicle, Present at raid or abduction, ICE agent(s) seen in vehicle, Seen in a convoy, ""Intimidation (observing, filming, etc.)"", Erratic/aggressive driving, Tinted/blacked-out windows, Tactical gear inside vehicle, Embedded lights",checked,,"IMG_2375.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/PX0ETXiXltAL--9-qH-ulA/O5JpQ1I74qOFlepa4sR4koCbLoCDJh7HYAXLuhIok7AJiw9m6nBZbTmQE3MIrzm4UcAZHqvJWgBanU4F2gL5s_tOUK9WWLXaCYkKnfFeOGckyyPp5kULWAQg-zFSOu-zx6oUNVTLYJ8J3fYNb5yiF3QY-vRBJJ-Xk5-0YuRbsBM/Ci690dotQ85ruxb9L9c-Q57aXA17yaarrUuJg6GpawQ),IMG_2376.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/GehArTnjZKZR7P4mUE3S4g/EewRavaLJ-XJvWAMdMUf16XxF1GIgALq9K7aaAkYQdzjEA2hfJuBVopka9AC2x6fdbGAKlpFd5nUifBjaP-EGdnEKrie_LgjjlvL_05uGX98cdA2utfBe8o7OVRfPDomurKoWdYMHvZ4Q_nPGWGH2CGjztzYmmatlKeXVBsKMwM/wMks3_rnpkVbXVNIBIgTzdqVQ86UeLYiOrI28nqdgNs),IMG_3626.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/N96cm8_PPTCrczMM9Gb1gQ/4vSyH7Cn_hMTK_DZuLWqxLeIE3xS9Hqo81pSP55wySqoKza7CT5DiXeKOtM1pq3IIvKd08SIqAZDmFYGKMjceeCOelPZdHlt2wrXWtrz1qKV2nr1wTVEhZWko1GDgVrkPSW35CdCocYd_cMd7otPbOOsTN91zCPLQ8HX-SxBJKs/rHhbXR3mVu5mG7nbWwrwJ-NYMZnf9uhqVfVLaKB-Qrs),IMG_3628.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/ElKWWCAUTpWxMw5zgpH_fA/RZppXL5w10CNhgZW7kNlL4SpqjEip6kw5BZ_EGN3AlIMduKPBbbFw0oO_C4ycecn-evLb3iMRsKNKsr3584uQkQKY6u53wHlUeOw0n4RgV01P841d-EpIA1x2QZUv_8EGqPofEtfiyYoJZ09P5QwSJGkmSdibCHioXRRLvsKmoM/WOcnvJlFxzRUR5Ww4ADWuILm3BwWQvtk239z3hVqXiU)",1/16/2026 11:40am,Whipple,014HGJ,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=014HGJ&prefill_Plate+Issuer=MN%20-%20Minnesota
017YNP (CO),1,CO - Colorado,Confirmed ICE,Black  Jeep ,ICE agent(s) seen in vehicle,checked,,,1/15/2026 3:00pm,,017YNP,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=017YNP&prefill_Plate+Issuer=CO%20-%20Colorado
01BNWB (FL),1,FL - Florida,Confirmed ICE,Dark gray / grey  Infiniti ,"ICE agent(s) seen in vehicle, ""Intimidation (observing, filming, etc.)""",,,,1/14/2026 2:00pm,East side ,01BNWB,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=01BNWB&prefill_Plate+Issuer=FL%20-%20Florida
01BNWD (FL),5,FL - Florida,Confirmed ICE,"   , Dark SUV Infiniti Other (describe in notes), Black SUV Infiniti Other (describe in notes), Dark gray / grey SUV Nissan , Gray / grey SUV Infiniti GX550","Erratic/aggressive driving, Tinted/blacked-out windows, ICE agent(s) seen in vehicle, Tinted/blacked-out windows",checked,,d6cd7a11e76bafeabc7dee864eaf38eed810177155125c2179a7335cac25c78a.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/r9iOzh5nYos6Npnfu006gA/HtwjkzAnQNbjQaoNC-c4m07VeUIDf_AE6RU9DvGXGMtxH1idKBCjLRcltU9I_2U0AF61HT8GI3vz6p8BGYIu6X20AWlC8drcrpfXLR7qgFGDT1iqagXJ9a4TTZf6nKeVdKdEfouBXG7_OA2Ymvte0AbOZNk1gNjplD1pfVLCzOWUbKRHk0ovt_mLfj7GF5BNBI9s25rHq9O4GsTeGW1u_qPWQHUQc8KuErGEAilTQvE/iJ7hb_OXSY1C5iz29EKHCBVfl6Mljrx1eJILJ027ZA0),1/15/2026 5:47pm,Whipple,01BNWD,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=01BNWD&prefill_Plate+Issuer=FL%20-%20Florida
